,,,,,,,,,,,,
Term,Class Stat,Subject,Catalog#,Section,Class Title,Enrl Cap,Tot Enrl,Days,Mtg Start,Mtg End,Room,Name
1232,Cancelled,ACL, 110,0500,Discipl Read in the Humanities,25,0,,,,,
1232,Cancelled,ACL, 110,1800,Discipl Read in the Humanities,25,0,,,,,
1232,Cancelled,ACL, 120,0500,Reading for Justice and Law,25,0,,,,,
1232,Cancelled,ACL, 120,1000,Reading for Justice and Law,25,0,,,,,
1232,Active,ACL, 150,0500,Literacy in American Society,25,16,,,,OL-02,"Robb,Elizabeth"
1232,Cancelled,ACL, 150,0501,Literacy in American Society,25,0,,,,,
1232,Cancelled,ACL, 150,0502,Literacy in American Society,25,0,,,,,
1232,Cancelled,ACL, 150,0800,Literacy in American Society,25,0,,,,,
1232,Active,ACL, 150,1000,Literacy in American Society,25,12,MW,10:00AM,11:15AM,OL-03,"Eder,Melissa J"
1232,Active,ACL, 150,1000,Literacy in American Society,25,12,MW,10:00AM,11:15AM,OL-03,"Rajkumar,Tajpertab"
1232,Cancelled,ACL, 150,1001,Literacy in American Society,23,0,,,,,
1232,Cancelled,ACL, 150,1100,Literacy in American Society,25,0,,,,,
1232,Cancelled,ACL, 150,1200,Literacy in American Society,25,0,,,,,
1232,Cancelled,ACL, 150,1400,Literacy in American Society,25,0,,,,,
1232,Active,ACL, 150,1500,Literacy in American Society,25,11,MTh,03:00PM,04:15PM,OL-03,"Emanuel,Juliet"
1232,Cancelled,ACL, 150,1600,Literacy in American Society,25,0,,,,,
1232,Cancelled,ACL, 150,1700,Literacy in American Society,19,0,,,,,
1232,Cancelled,ACL, 150,1701,Literacy in American Society,19,0,,,,,
1232,Cancelled,ACL, 150,1702,Literacy in American Society,25,0,,,,,
1232,Cancelled,ACL, 150,1703,Literacy in American Society,25,0,,,,,
1232,Cancelled,ACL, 150,5000,Literacy in American Society,25,0,,,,,
1232,Active,ACL, 195,0500,"Literacy, Dev, and Soc Justice",25,19,,,,OL-02,"Leonard,Timothy J"
1232,Cancelled,ACL, 195,0501,"Literacy, Dev, and Soc Justice",25,0,,,,,
1232,Cancelled,ACL, 195,1000,"Literacy, Dev, and Soc Justice",25,0,,,,,
1232,Cancelled,ACL, 195,1100,"Literacy, Dev, and Soc Justice",22,0,,,,,
1232,Cancelled,ACL, 195,1200,"Literacy, Dev, and Soc Justice",25,0,,,,,
1232,Cancelled,ACL, 195,1800,"Literacy, Dev, and Soc Justice",25,0,,,,,
1232,Cancelled,ACL, 195,1900,"Literacy, Dev, and Soc Justice",25,0,,,,,
1232,Active,ACL, 200,0502,Literacy Practices:Birth-Adole,25,9,,,,OL-02,"Flink,Patrick"
1232,Active,ACL, 200,050W,Literacy Practices:Birth-Adole,25,15,,,,OL-02,"Dunphy Gregoire,Megan Christine"
1232,Cancelled,ACL, 200,051W,Literacy Practices:Birth-Adole,25,0,,,,,
1232,Cancelled,ACL, 200,0800,Literacy Practices:Birth-Adole,25,0,,,,,
1232,Cancelled,ACL, 200,1101,Literacy Practices:Birth-Adole,25,0,,,,,
1232,Cancelled,ACL, 200,1300,Literacy Practices:Birth-Adole,25,0,,,,,
1232,Cancelled,ACL, 200,1600,Literacy Practices:Birth-Adole,25,0,,,,,
1232,Cancelled,ACL, 200,1601,Literacy Practices:Birth-Adole,25,0,,,,,
1232,Cancelled,ACL, 200,1701,Literacy Practices:Birth-Adole,25,0,,,,,
1232,Cancelled,ACL, 200,170W,Literacy Practices:Birth-Adole,25,0,,,,,
1232,Cancelled,ACL, 200,5000,Literacy Practices:Birth-Adole,25,0,,,,,
1232,Cancelled,ACR,  94,8000,Academic & Critical Reading I,25,0,,,,,
1232,Cancelled,ACR,  95,1100,Academic & Critical Reading II,25,0,,,,,
1232,Active,CRT, 100,0500,Critical Thinking,25,14,,,,OL-02,"Lester,Lanny Martin"
1232,Cancelled,CRT, 100,0501,Critical Thinking,25,0,,,,,
1232,Cancelled,CRT, 100,0502,Critical Thinking,25,0,,,,,
1232,Cancelled,CRT, 100,0503,Critical Thinking,25,0,,,,,
1232,Cancelled,CRT, 100,0504,Critical Thinking,25,0,,,,,
1232,Cancelled,CRT, 100,0506,Critical Thinking,25,0,,,,,
1232,Active,CRT, 100,0507,Critical Thinking,25,9,,,,OL-02,"McConnell,Shane"
1232,Cancelled,CRT, 100,0508,Critical Thinking,25,0,,,,,
1232,Active,CRT, 100,051W,Critical Thinking,25,21,,,,OL-02,"Marcus,Matthew G"
1232,Active,CRT, 100,052W,Critical Thinking,25,8,,,,OL-02,"Dunphy Gregoire,Megan Christine"
1232,Active,CRT, 100,053W,Critical Thinking,25,25,,,,OL-02,"Barnes,Ewa"
1232,Active,CRT, 100,054W,Critical Thinking,25,10,,,,OL-02,"Barnes,Ewa"
1232,Active,CRT, 100,055W,Critical Thinking,25,10,,,,OL-02,"Protopopescu,Tudor I"
