,Course,# of Sections,# Enrolled
0,Total,131,2248
1,7W1 Express,4,30
2,CRT 100,1,7
3,CRT 100.5,1,9
4,LIN 100,1,4
5,LIN 150,1,10
6,8W2 Express,6,33
7,CRT 100,2,10
8,ESL,3,21
9,ESL 94,1,5
10,ESL 95,1,3
11,ESL 96,1,13
12,LIN 100,1,2
13,Regular,121,2185
14,ACR 94,3,36
15,ACR 95,4,56
16,ACR 150,9,234
17,ACR 195,1,25
18,ACR 200,5,108
19,CRT 100,31,577
20,CRT 100.5,8,128
21,CRT 100.6,3,36
22,CRT 120,3,54
23,CRT 150,2,28
24,CRT 196,1,9
25,CRT 245,1,9
26,ESL 49,1,9
27,ESL 54,1,9
28,ESL 94,4,68
29,ESL 95,3,43
30,ESL 96,4,77
31,LIN 100,8,154
32,LIN 101,2,44
33,LIN 110,1,16
34,LIN 130,1,10
35,LIN 140,1,25
36,LIN 150,7,131
37,LIN 150.5,1,22
38,LIN 210,1,12
39,LIN 250,13,219
40,LIN 300,1,21
