Course,# Enrolled,# of Sections
ACL  110,3,1
ACL  120,21,3
ACL  150,162,13
ACL  195,53,6
ACL  200,48,7
CRT  100,584,56
CRT  100.6,136,8
CRT  100H,19,1
CRT  120,22,6
CRT  150,20,6
CRT  196,6,1
CRT  220,0,1
CRT  245,21,3
CRT  250,2,1
CRT  300,1,1
CRT  310,0,1
ESL   49,19,1
ESL   54,38,2
ESL   94RW,150,12
ESL   96,292,23
LIN  100,100,10
LIN  101,48,9
LIN  101H,0,1
LIN  110,17,2
LIN  125,2,2
LIN  140,35,3
LIN  150,158,11
LIN  150H,0,1
LIN  210,1,2
LIN  250,153,18
LIN  250H,0,2
