,Course,# of Sections,# Enrolled
0,Regular,115,1980
1,ACR 150,9,165
2,ACR 195,3,61
3,ACR 200,5,95
4,ACR 94,1,25
5,ACR 95,1,13
6,CRT  100H,1,17
7,CRT 100,33,643
8,CRT 100.5,7,122
9,CRT 100.6,2,22
10,CRT 120,2,23
11,CRT 150,2,14
12,CRT 196,1,25
13,ESL 94RW,1,8
14,ESL 49,1,8
15,ESL 54,1,8
16,ESL 94,2,33
17,ESL 95,3,39
18,ESL 96,5,78
19,LIN 100,7,111
20,LIN 101,3,55
21,LIN 110,1,24
22,LIN 130,1,8
23,LIN 140,1,8
24,LIN 150,8,153
25,LIN 150.5,1,6
26,LIN 200,1,4
27,LIN 220,1,2
28,LIN 240,1,2
29,LIN 250,10,208
30,7W1,3,66
31,ACR 150,1,25
32,CRT 100,1,16
33,LIN 150,1,25
34,8W2,11,91
35,CRT 100,2,13
36,CRT 100.5,1,2
37,CRT 120,1,12
38,CRT 150,1,22
39,ESL 94,1,10
40,ESL 95,1,3
41,ESL 96,1,3
42,LIN 100,1,1
43,LIN 150,1,25
44,LIN 250,1,0
45,Grand Total,129,2137
